Location,Location_2,n_samples,mean_accuracy,ci_lower,ci_upper
Left-Hippocampus,Left-Hippocampus,522,0.7872893772893773,0.7502211604158305,0.8202930030600025
Left-Hippocampus,ctx-lh-parahippocampal,134,0.7834757834757834,0.7064803213247409,0.8448777435870775
Left-Hippocampus,ctx-lh-lingual,56,0.6757575757575757,0.5482263990973855,0.7859900520744849
Left-Hippocampus,Left-Amygdala,166,0.8251336898395722,0.7603660996554632,0.8755210432712724
Left-Hippocampus,ctx-lh-middletemporal,408,0.8456187895212286,0.8073180221447691,0.8774114871365586
Left-Hippocampus,ctx-lh-fusiform,98,0.8157894736842106,0.7282500277598462,0.8805393662448048
Left-Hippocampus,ctx-lh-inferiortemporal,144,0.8684729064039409,0.8031071380429962,0.9138771290600463
Left-Hippocampus,ctx-lh-precuneus,56,0.7666666666666667,0.6423184678498916,0.8590062089079139
ctx-lh-parahippocampal,Left-Hippocampus,134,0.7393162393162391,0.6585154628366853,0.8057860655101091
ctx-lh-parahippocampal,ctx-lh-parahippocampal,72,0.6666666666666666,0.5517960435660518,0.7646535655684621
ctx-lh-parahippocampal,Left-Amygdala,58,0.7106060606060606,0.5798709910321587,0.808218172090378
ctx-lh-parahippocampal,ctx-lh-middletemporal,118,0.8644927536231884,0.7910519425571667,0.9147833357823714
ctx-lh-parahippocampal,ctx-lh-fusiform,32,0.7190476190476189,0.5462549057408341,0.8443541950225724
ctx-lh-parahippocampal,ctx-lh-inferiortemporal,44,0.8166666666666667,0.6803944911281533,0.9048719428437227
ctx-lh-lingual,Left-Hippocampus,56,0.7515151515151516,0.623073578523325,0.8448294531172933
ctx-lh-lingual,ctx-lh-middletemporal,32,0.8047619047619048,0.6469084479862404,0.9111045531043405
Left-Amygdala,Left-Hippocampus,166,0.7468805704099821,0.6757820657121671,0.8070211353988728
Left-Amygdala,ctx-lh-parahippocampal,58,0.8287878787878787,0.7109174349067378,0.903557073370612
Left-Amygdala,Left-Amygdala,110,0.7636363636363637,0.6761922754696252,0.8332881950095246
Left-Amygdala,ctx-lh-middletemporal,176,0.7785714285714287,0.711472362147805,0.8334520431735966
Left-Amygdala,ctx-lh-fusiform,56,0.7484848484848484,0.623073578523325,0.8448294531172933
Left-Amygdala,ctx-lh-inferiortemporal,70,0.7857142857142858,0.676088137365211,0.8656129698289221
ctx-lh-middletemporal,Left-Hippocampus,408,0.8504366154772658,0.8126270124720789,0.8818149721182036
ctx-lh-middletemporal,ctx-lh-parahippocampal,118,0.8815217391304347,0.8106688858660447,0.9279959403032394
ctx-lh-middletemporal,ctx-lh-lingual,32,0.6857142857142857,0.5143332169904458,0.8204745836639027
ctx-lh-middletemporal,Left-Amygdala,176,0.8517460317460317,0.7923461880856805,0.8971499982393579
ctx-lh-middletemporal,ctx-lh-middletemporal,590,0.8220338983050848,0.7891174289012614,0.850784003300255
ctx-lh-middletemporal,ctx-lh-fusiform,136,0.8965608465608466,0.8346183375297825,0.9376848185641372
ctx-lh-middletemporal,ctx-lh-inferiortemporal,158,0.8608870967741936,0.7981767365026284,0.9062163209419527
ctx-lh-middletemporal,ctx-lh-precuneus,32,0.8142857142857143,0.6469084479862404,0.9111045531043405
ctx-lh-fusiform,Left-Hippocampus,98,0.8768421052631579,0.7980716017169679,0.9285479975789058
ctx-lh-fusiform,ctx-lh-parahippocampal,32,0.7904761904761904,0.6124500635075647,0.8897616374739581
ctx-lh-fusiform,Left-Amygdala,56,0.8060606060606063,0.681553923735416,0.8866140432567635
ctx-lh-fusiform,ctx-lh-middletemporal,136,0.9042328042328043,0.8433201759217401,0.9432848904702151
ctx-lh-fusiform,ctx-lh-fusiform,74,0.8371428571428572,0.7376018659372965,0.9047293642002805
ctx-lh-fusiform,ctx-lh-inferiortemporal,60,0.8333333333333334,0.7196838683638547,0.9068682302080855
ctx-lh-inferiortemporal,Left-Hippocampus,144,0.8266009852216747,0.7562655721912297,0.8795506646737323
ctx-lh-inferiortemporal,ctx-lh-parahippocampal,44,0.7722222222222221,0.6300764193536366,0.8715805240508285
ctx-lh-inferiortemporal,Left-Amygdala,70,0.7142857142857142,0.5994980341827975,0.8067777962128025
ctx-lh-inferiortemporal,ctx-lh-middletemporal,158,0.8548387096774194,0.7910355643591988,0.9009997201477581
ctx-lh-inferiortemporal,ctx-lh-fusiform,60,0.8833333333333332,0.7782121197582913,0.9423227935994397
ctx-lh-inferiortemporal,ctx-lh-inferiortemporal,100,0.8699999999999999,0.7901964855992356,0.9224283257275949
ctx-lh-precuneus,Left-Hippocampus,56,0.7696969696969698,0.6423184678498916,0.8590062089079139
ctx-lh-precuneus,ctx-lh-middletemporal,32,0.7523809523809524,0.5789344100575551,0.8674759908149097
Left-Amygdala,ctx-lh-lateralorbitofrontal,30,0.7,0.5212421254128503,0.833352517317562
Left-Amygdala,ctx-lh-parstriangularis,40,0.775,0.6249690325768998,0.8768390867645927
Left-Amygdala,ctx-lh-supramarginal,24,0.76,0.5510055599484599,0.88000633771405
Left-Amygdala,ctx-lh-superiortemporal,56,0.8015151515151515,0.681553923735416,0.8866140432567635
ctx-lh-middletemporal,ctx-lh-lateralorbitofrontal,212,0.8351052048726467,0.7790581112932209,0.8788321789960214
ctx-lh-middletemporal,ctx-lh-insula,112,0.8837944664031621,0.8114943070899336,0.9308996585550915
ctx-lh-middletemporal,ctx-lh-parstriangularis,152,0.835268817204301,0.7684693638513513,0.8860419630565783
ctx-lh-middletemporal,ctx-lh-supramarginal,78,0.8066666666666666,0.7066518728093648,0.8798479365985158
ctx-lh-middletemporal,ctx-lh-superiortemporal,222,0.8782828282828282,0.828831454546235,0.9150532195843146
Left-Hippocampus,ctx-lh-lateralorbitofrontal,98,0.8973684210526315,0.8222723377188418,0.9436239966741063
Left-Hippocampus,ctx-lh-insula,60,0.7833333333333333,0.6637997242680521,0.868769559518097
Left-Hippocampus,ctx-lh-parstriangularis,78,0.8083333333333333,0.7066518728093648,0.8798479365985158
Left-Hippocampus,ctx-lh-supramarginal,64,0.7833333333333333,0.6656721604337417,0.8649768059328053
Left-Hippocampus,ctx-lh-superiortemporal,122,0.8203333333333334,0.7420367275186709,0.8777907977735996
ctx-lh-fusiform,ctx-lh-lateralorbitofrontal,44,0.7499999999999999,0.6055943364104085,0.8542578617103512
ctx-lh-fusiform,ctx-lh-insula,30,0.6666666666666666,0.48780051644543837,0.8076950191632386
ctx-lh-fusiform,ctx-lh-parstriangularis,34,0.7047619047619047,0.5383109020528556,0.8316536932957759
ctx-lh-fusiform,ctx-lh-supramarginal,46,0.8022222222222222,0.6682874107701539,0.8934938986560147
ctx-lh-fusiform,ctx-lh-superiortemporal,52,0.7854545454545454,0.6596789537149542,0.8775562946751251
ctx-lh-lateralorbitofrontal,Left-Amygdala,30,0.6666666666666667,0.48780051644543837,0.8076950191632386
ctx-lh-lateralorbitofrontal,ctx-lh-middletemporal,212,0.8306755260243632,0.7738784189169661,0.8747458109456672
ctx-lh-lateralorbitofrontal,Left-Hippocampus,98,0.8163157894736843,0.7282500277598462,0.8805393662448048
ctx-lh-lateralorbitofrontal,ctx-lh-fusiform,44,0.7527777777777778,0.6055943364104085,0.8542578617103512
ctx-lh-lateralorbitofrontal,ctx-lh-lateralorbitofrontal,210,0.8571428571428573,0.8033895993687219,0.8980646500889329
ctx-lh-lateralorbitofrontal,ctx-lh-insula,104,0.7014285714285713,0.6081007032433253,0.7813599036447229
ctx-lh-lateralorbitofrontal,ctx-lh-parstriangularis,106,0.8194805194805195,0.7369360546798733,0.8821380247258237
ctx-lh-lateralorbitofrontal,ctx-lh-supramarginal,68,0.8505494505494505,0.7500260574669123,0.9181118226365673
ctx-lh-lateralorbitofrontal,ctx-lh-superiortemporal,174,0.8277310924369748,0.7645442908388691,0.8764760918995491
ctx-lh-insula,ctx-lh-middletemporal,112,0.7948616600790513,0.71066346806868,0.8590807381240136
ctx-lh-insula,Left-Hippocampus,60,0.7666666666666667,0.6456372962239805,0.8556043826335717
ctx-lh-insula,ctx-lh-fusiform,30,0.7666666666666667,0.5907167384187783,0.882076118555105
ctx-lh-insula,ctx-lh-lateralorbitofrontal,104,0.8171428571428571,0.7322037581041858,0.8798057670056043
ctx-lh-insula,ctx-lh-insula,94,0.7771929824561404,0.6824912052295027,0.848980837673047
ctx-lh-insula,ctx-lh-parstriangularis,56,0.840909090909091,0.7219379333025048,0.9130733239240486
ctx-lh-insula,ctx-lh-supramarginal,40,0.725,0.5716504419378943,0.8389198375233267
ctx-lh-insula,ctx-lh-superiortemporal,118,0.8554347826086957,0.7813559853085654,0.9080645191160999
ctx-lh-parstriangularis,Left-Amygdala,40,0.825,0.6805000966821227,0.9125458625396409
ctx-lh-parstriangularis,ctx-lh-middletemporal,152,0.8288172043010753,0.7611653548436896,0.880512416634673
ctx-lh-parstriangularis,Left-Hippocampus,78,0.805,0.7066518728093648,0.8798479365985158
ctx-lh-parstriangularis,ctx-lh-fusiform,34,0.7333333333333333,0.5688285871705533,0.8539880932278826
ctx-lh-parstriangularis,ctx-lh-lateralorbitofrontal,106,0.8021645021645023,0.7160468923505877,0.8666110647371271
ctx-lh-parstriangularis,ctx-lh-insula,56,0.8196969696969697,0.7015881796334894,0.900001432475877
ctx-lh-parstriangularis,ctx-lh-parstriangularis,74,0.7847619047619048,0.6772627498746149,0.8622954834409498
ctx-lh-parstriangularis,ctx-lh-supramarginal,40,0.8,0.652426936536005,0.895000102745623
ctx-lh-parstriangularis,ctx-lh-superiortemporal,100,0.8,0.7111708344068411,0.8666330666689676
ctx-lh-supramarginal,Left-Amygdala,24,0.8800000000000001,0.6899611872949992,0.9565566591987656
ctx-lh-supramarginal,ctx-lh-middletemporal,78,0.795,0.6924602695475389,0.8696020478016798
ctx-lh-supramarginal,Left-Hippocampus,64,0.7487179487179487,0.631837235413303,0.8398507346902941
ctx-lh-supramarginal,ctx-lh-fusiform,46,0.7355555555555556,0.597408464719844,0.843991135543574
ctx-lh-supramarginal,ctx-lh-lateralorbitofrontal,68,0.7791208791208791,0.6674326122885067,0.861509876126748
ctx-lh-supramarginal,ctx-lh-insula,40,0.75,0.5980603857923197,0.858128813609037
ctx-lh-supramarginal,ctx-lh-parstriangularis,40,0.9,0.769482247724777,0.9604204713173937
ctx-lh-supramarginal,ctx-lh-supramarginal,76,0.7891666666666668,0.6850436020610324,0.8660485329012564
ctx-lh-supramarginal,ctx-lh-superiortemporal,70,0.8142857142857143,0.7077442179325668,0.8881269999809798
ctx-lh-superiortemporal,Left-Amygdala,56,0.7863636363636364,0.6618053643659488,0.8729409575090435
ctx-lh-superiortemporal,ctx-lh-middletemporal,222,0.8649494949494951,0.8136422059375022,0.9036751584026707
ctx-lh-superiortemporal,Left-Hippocampus,122,0.8026666666666668,0.7239527940587408,0.8640887042954645
ctx-lh-superiortemporal,ctx-lh-fusiform,52,0.7872727272727272,0.6596789537149542,0.8775562946751251
ctx-lh-superiortemporal,ctx-lh-lateralorbitofrontal,174,0.8105882352941176,0.745635806052902,0.8616466618045469
ctx-lh-superiortemporal,ctx-lh-insula,118,0.822463768115942,0.743211209821014,0.8805501989441593
ctx-lh-superiortemporal,ctx-lh-parstriangularis,100,0.85,0.7671644040916763,0.9069401471634337
ctx-lh-superiortemporal,ctx-lh-supramarginal,70,0.8428571428571429,0.7401175342315778,0.909923794401382
ctx-lh-superiortemporal,ctx-lh-superiortemporal,206,0.7911730545876887,0.7306848330124762,0.8411754689240343
Left-Hippocampus,Right-Hippocampus,30,0.8,0.6269430358685175,0.9049489282271013
Left-Hippocampus,ctx-rh-middletemporal,56,0.9106060606060605,0.8074399861448884,0.9612578515504131
Left-Hippocampus,ctx-rh-precentral,20,0.7,0.48102718164647645,0.8545227551323957
Left-Hippocampus,ctx-rh-superiorfrontal,102,0.8533333333333332,0.7714538787113648,0.9088088538911315
Left-Hippocampus,ctx-rh-rostralanteriorcingulate,36,0.775,0.6191529705388181,0.8828366802420353
ctx-lh-middletemporal,Right-Hippocampus,70,0.9428571428571428,0.8620804952516177,0.9775562208992887
ctx-lh-middletemporal,ctx-rh-fusiform,36,0.75,0.5892954623327165,0.8624952233700518
ctx-lh-middletemporal,ctx-rh-middletemporal,126,0.8809230769230769,0.8128498826548355,0.9265133444063466
ctx-lh-middletemporal,ctx-rh-lateralorbitofrontal,108,0.88008658008658,0.8048913482797926,0.9282893600607844
ctx-lh-middletemporal,ctx-rh-parstriangularis,74,0.8666666666666666,0.7688082144747669,0.9249095140738163
ctx-lh-middletemporal,ctx-rh-insula,36,0.8857142857142858,0.7468519140963513,0.9559335969968435
ctx-lh-middletemporal,ctx-rh-caudalanteriorcingulate,20,0.75,0.5312991223812559,0.8881382985923344
ctx-lh-middletemporal,ctx-rh-superiorfrontal,222,0.9146464646464645,0.8702054035712601,0.9445254300002943
ctx-lh-middletemporal,ctx-rh-rostralanteriorcingulate,76,0.8425,0.743985675457256,0.9073050294981762
ctx-lh-parahippocampal,ctx-rh-superiorfrontal,30,0.8333333333333333,0.6643564949358397,0.9266345762815146
ctx-lh-fusiform,Right-Hippocampus,26,0.8800000000000001,0.7102409678828635,0.9599675537638938
ctx-lh-fusiform,ctx-rh-middletemporal,42,0.8333333333333333,0.6939599725535115,0.9168408335360192
ctx-lh-fusiform,ctx-rh-lateralorbitofrontal,20,0.75,0.5312991223812559,0.8881382985923344
ctx-lh-fusiform,ctx-rh-parstriangularis,28,1.0,0.8793566952341542,0.9999999999999999
ctx-lh-fusiform,ctx-rh-superiorfrontal,54,0.76,0.6305247581649721,0.8535570850471558
