Location,Location_2,n_samples,mean_accuracy,std_accuracy
Left-Hippocampus,Left-Hippocampus,522,0.7872893772893773,0.05163092346172495
Left-Hippocampus,ctx-lh-parahippocampal,134,0.7834757834757834,0.036795177871140616
Left-Hippocampus,ctx-lh-lingual,56,0.6757575757575757,0.07878787878787881
Left-Hippocampus,Left-Amygdala,166,0.8251336898395722,0.06506702789114908
Left-Hippocampus,ctx-lh-middletemporal,408,0.8456187895212286,0.03655302206099536
Left-Hippocampus,ctx-lh-fusiform,98,0.8157894736842106,0.043623927968636
Left-Hippocampus,ctx-lh-inferiortemporal,144,0.8684729064039409,0.06641300313833585
Left-Hippocampus,ctx-lh-precuneus,56,0.7666666666666667,0.07521014330903551
ctx-lh-parahippocampal,Left-Hippocampus,134,0.7393162393162391,0.037989078748224006
ctx-lh-parahippocampal,ctx-lh-parahippocampal,72,0.6666666666666666,0.1440899190155396
ctx-lh-parahippocampal,Left-Amygdala,58,0.7106060606060606,0.13229624213904895
ctx-lh-parahippocampal,ctx-lh-middletemporal,118,0.8644927536231884,0.09758693257699956
ctx-lh-parahippocampal,ctx-lh-fusiform,32,0.7190476190476189,0.06098213559459858
ctx-lh-parahippocampal,ctx-lh-inferiortemporal,44,0.8166666666666667,0.059835164523716684
ctx-lh-lingual,Left-Hippocampus,56,0.7515151515151516,0.10032088095301121
ctx-lh-lingual,ctx-lh-middletemporal,32,0.8047619047619048,0.19541223360650659
Left-Amygdala,Left-Hippocampus,166,0.7468805704099821,0.07352157901347679
Left-Amygdala,ctx-lh-parahippocampal,58,0.8287878787878787,0.12136354178485324
Left-Amygdala,Left-Amygdala,110,0.7636363636363637,0.06680426571226851
Left-Amygdala,ctx-lh-middletemporal,176,0.7785714285714287,0.07477858473315656
Left-Amygdala,ctx-lh-fusiform,56,0.7484848484848484,0.15792502085812585
Left-Amygdala,ctx-lh-inferiortemporal,70,0.7857142857142858,0.06388765649999396
ctx-lh-middletemporal,Left-Hippocampus,408,0.8504366154772658,0.047402249323414324
ctx-lh-middletemporal,ctx-lh-parahippocampal,118,0.8815217391304347,0.04201336541323412
ctx-lh-middletemporal,ctx-lh-lingual,32,0.6857142857142857,0.10795984808337748
ctx-lh-middletemporal,Left-Amygdala,176,0.8517460317460317,0.058773900484661544
ctx-lh-middletemporal,ctx-lh-middletemporal,590,0.8220338983050848,0.03901987943464861
ctx-lh-middletemporal,ctx-lh-fusiform,136,0.8965608465608466,0.07206457978030627
ctx-lh-middletemporal,ctx-lh-inferiortemporal,158,0.8608870967741936,0.05764507441732177
ctx-lh-middletemporal,ctx-lh-precuneus,32,0.8142857142857143,0.18952141659173713
ctx-lh-fusiform,Left-Hippocampus,98,0.8768421052631579,0.04247860794522332
ctx-lh-fusiform,ctx-lh-parahippocampal,32,0.7904761904761904,0.21842561792723267
ctx-lh-fusiform,Left-Amygdala,56,0.8060606060606063,0.11273378931962591
ctx-lh-fusiform,ctx-lh-middletemporal,136,0.9042328042328043,0.018810993475800224
ctx-lh-fusiform,ctx-lh-fusiform,74,0.8371428571428572,0.1173555946723761
ctx-lh-fusiform,ctx-lh-inferiortemporal,60,0.8333333333333334,0.10540925533894599
ctx-lh-inferiortemporal,Left-Hippocampus,144,0.8266009852216747,0.05714285714285714
ctx-lh-inferiortemporal,ctx-lh-parahippocampal,44,0.7722222222222221,0.07114582486036498
ctx-lh-inferiortemporal,Left-Amygdala,70,0.7142857142857142,0.07824607964359517
ctx-lh-inferiortemporal,ctx-lh-middletemporal,158,0.8548387096774194,0.05764507441732175
ctx-lh-inferiortemporal,ctx-lh-fusiform,60,0.8833333333333332,0.08498365855987973
ctx-lh-inferiortemporal,ctx-lh-inferiortemporal,100,0.8699999999999999,0.024494897427831803
ctx-lh-precuneus,Left-Hippocampus,56,0.7696969696969698,0.06239775843022427
ctx-lh-precuneus,ctx-lh-middletemporal,32,0.7523809523809524,0.06834619092574919
Left-Amygdala,ctx-lh-lateralorbitofrontal,30,0.7,0.12472191289246473
Left-Amygdala,ctx-lh-parstriangularis,40,0.775,0.16583123951777
Left-Amygdala,ctx-lh-supramarginal,24,0.76,0.14966629547095767
Left-Amygdala,ctx-lh-superiortemporal,56,0.8015151515151515,0.14661782307155083
ctx-lh-middletemporal,ctx-lh-lateralorbitofrontal,212,0.8351052048726467,0.038693821582587634
ctx-lh-middletemporal,ctx-lh-insula,112,0.8837944664031621,0.04642207935665787
ctx-lh-middletemporal,ctx-lh-parstriangularis,152,0.835268817204301,0.022528357279669314
ctx-lh-middletemporal,ctx-lh-supramarginal,78,0.8066666666666666,0.05995368582868318
ctx-lh-middletemporal,ctx-lh-superiortemporal,222,0.8782828282828282,0.037195863918226164
Left-Hippocampus,ctx-lh-lateralorbitofrontal,98,0.8973684210526315,0.046572256432903025
Left-Hippocampus,ctx-lh-insula,60,0.7833333333333333,0.08498365855987976
Left-Hippocampus,ctx-lh-parstriangularis,78,0.8083333333333333,0.03717451337199244
Left-Hippocampus,ctx-lh-supramarginal,64,0.7833333333333333,0.07302067110716995
Left-Hippocampus,ctx-lh-superiortemporal,122,0.8203333333333334,0.07034360114624659
ctx-lh-fusiform,ctx-lh-lateralorbitofrontal,44,0.7499999999999999,0.08240220541217404
ctx-lh-fusiform,ctx-lh-insula,30,0.6666666666666666,0.10540925533894599
ctx-lh-fusiform,ctx-lh-parstriangularis,34,0.7047619047619047,0.01904761904761907
ctx-lh-fusiform,ctx-lh-supramarginal,46,0.8022222222222222,0.08560604570781433
ctx-lh-fusiform,ctx-lh-superiortemporal,52,0.7854545454545454,0.1193093070292576
ctx-lh-lateralorbitofrontal,Left-Amygdala,30,0.6666666666666667,0.149071198499986
ctx-lh-lateralorbitofrontal,ctx-lh-middletemporal,212,0.8306755260243632,0.05696315541899516
ctx-lh-lateralorbitofrontal,Left-Hippocampus,98,0.8163157894736843,0.040131363243596306
ctx-lh-lateralorbitofrontal,ctx-lh-fusiform,44,0.7527777777777778,0.16111111111111112
ctx-lh-lateralorbitofrontal,ctx-lh-lateralorbitofrontal,210,0.8571428571428573,0.03367175148507368
ctx-lh-lateralorbitofrontal,ctx-lh-insula,104,0.7014285714285713,0.0781242687040603
ctx-lh-lateralorbitofrontal,ctx-lh-parstriangularis,106,0.8194805194805195,0.08263297082381164
ctx-lh-lateralorbitofrontal,ctx-lh-supramarginal,68,0.8505494505494505,0.13652049542399378
ctx-lh-lateralorbitofrontal,ctx-lh-superiortemporal,174,0.8277310924369748,0.04733412867378764
ctx-lh-insula,ctx-lh-middletemporal,112,0.7948616600790513,0.05831077820050603
ctx-lh-insula,Left-Hippocampus,60,0.7666666666666667,0.11055415967851333
ctx-lh-insula,ctx-lh-fusiform,30,0.7666666666666667,0.08164965809277264
ctx-lh-insula,ctx-lh-lateralorbitofrontal,104,0.8171428571428571,0.04719813978424331
ctx-lh-insula,ctx-lh-insula,94,0.7771929824561404,0.1298245614035088
ctx-lh-insula,ctx-lh-parstriangularis,56,0.840909090909091,0.10163945352271771
ctx-lh-insula,ctx-lh-supramarginal,40,0.725,0.09354143466934853
ctx-lh-insula,ctx-lh-superiortemporal,118,0.8554347826086957,0.04499760781524642
ctx-lh-parstriangularis,Left-Amygdala,40,0.825,0.06123724356957945
ctx-lh-parstriangularis,ctx-lh-middletemporal,152,0.8288172043010753,0.025092268163907278
ctx-lh-parstriangularis,Left-Hippocampus,78,0.805,0.1185092588975412
ctx-lh-parstriangularis,ctx-lh-fusiform,34,0.7333333333333333,0.11106575037800571
ctx-lh-parstriangularis,ctx-lh-lateralorbitofrontal,106,0.8021645021645023,0.06200609270924287
ctx-lh-parstriangularis,ctx-lh-insula,56,0.8196969696969697,0.08304357336996798
ctx-lh-parstriangularis,ctx-lh-parstriangularis,74,0.7847619047619048,0.10529733303684004
ctx-lh-parstriangularis,ctx-lh-supramarginal,40,0.8,0.15
ctx-lh-parstriangularis,ctx-lh-superiortemporal,100,0.8,0.0632455532033676
ctx-lh-supramarginal,Left-Amygdala,24,0.8800000000000001,0.09797958971132709
ctx-lh-supramarginal,ctx-lh-middletemporal,78,0.795,0.06227180564089803
ctx-lh-supramarginal,Left-Hippocampus,64,0.7487179487179487,0.09372136862819008
ctx-lh-supramarginal,ctx-lh-fusiform,46,0.7355555555555556,0.11640711869963373
ctx-lh-supramarginal,ctx-lh-lateralorbitofrontal,68,0.7791208791208791,0.07866167106889356
ctx-lh-supramarginal,ctx-lh-insula,40,0.75,0.15811388300841897
ctx-lh-supramarginal,ctx-lh-parstriangularis,40,0.9,0.09354143466934853
ctx-lh-supramarginal,ctx-lh-supramarginal,76,0.7891666666666668,0.0660176744011279
ctx-lh-supramarginal,ctx-lh-superiortemporal,70,0.8142857142857143,0.09689042833036096
ctx-lh-superiortemporal,Left-Amygdala,56,0.7863636363636364,0.09045340337332909
ctx-lh-superiortemporal,ctx-lh-middletemporal,222,0.8649494949494951,0.042778224986631176
ctx-lh-superiortemporal,Left-Hippocampus,122,0.8026666666666668,0.060997267698370466
ctx-lh-superiortemporal,ctx-lh-fusiform,52,0.7872727272727272,0.07726737949409378
ctx-lh-superiortemporal,ctx-lh-lateralorbitofrontal,174,0.8105882352941176,0.033188915786210756
ctx-lh-superiortemporal,ctx-lh-insula,118,0.822463768115942,0.029143590655348134
ctx-lh-superiortemporal,ctx-lh-parstriangularis,100,0.85,0.07745966692414837
ctx-lh-superiortemporal,ctx-lh-supramarginal,70,0.8428571428571429,0.0832993127835043
ctx-lh-superiortemporal,ctx-lh-superiortemporal,206,0.7911730545876887,0.029787261513422418
Left-Hippocampus,Right-Hippocampus,30,0.8,0.19436506316151
Left-Hippocampus,ctx-rh-middletemporal,56,0.9106060606060605,0.05757575757575755
Left-Hippocampus,ctx-rh-precentral,20,0.7,0.291547594742265
Left-Hippocampus,ctx-rh-superiorfrontal,102,0.8533333333333332,0.06947486861890788
Left-Hippocampus,ctx-rh-rostralanteriorcingulate,36,0.775,0.11715156762040518
ctx-lh-middletemporal,Right-Hippocampus,70,0.9428571428571428,0.05345224838248489
ctx-lh-middletemporal,ctx-rh-fusiform,36,0.75,0.10594569267279517
ctx-lh-middletemporal,ctx-rh-middletemporal,126,0.8809230769230769,0.03582468819157636
ctx-lh-middletemporal,ctx-rh-lateralorbitofrontal,108,0.88008658008658,0.08425003191268626
ctx-lh-middletemporal,ctx-rh-parstriangularis,74,0.8666666666666666,0.09428090415820635
ctx-lh-middletemporal,ctx-rh-insula,36,0.8857142857142858,0.13997084244475302
ctx-lh-middletemporal,ctx-rh-caudalanteriorcingulate,20,0.75,0.15811388300841897
ctx-lh-middletemporal,ctx-rh-superiorfrontal,222,0.9146464646464645,0.029093714791748996
ctx-lh-middletemporal,ctx-rh-rostralanteriorcingulate,76,0.8425,0.08945824600213095
